She walks to school every day.,Она ходит в школу каждый день.
He plays soccer on weekends., По выходным он играет в футбол.
They eat breakfast together in the morning., Утром они вместе завтракают.
The sun rises in the east., Солнце встает на востоке.
I read a book before bed., Я читаю книгу перед сном.
You always help your friends., Ты всегда помогаешь своим друзьям.
The train leaves at 6 PM., Поезд отправляется в 18:00.
We enjoy hiking in the mountains., Мы любим походы в горы.
She studies English every afternoon., Каждый день после обеда она изучает английский язык.
He likes to watch movies on Fridays., По пятницам он любит смотреть фильмы.
Birds sing in the spring., Весной поют птицы.
It rains a lot in the fall., Осенью часто идут дожди.
My brother works at a grocery store., Мой брат работает в продуктовом магазине.
The baby sleeps through the night., Ребенок спит всю ночь.
Cats chase mice., Кошки гоняются за мышами.
We often visit our grandparents., Мы часто навещаем наших бабушек и дедушек.
You travel to different countries for work., Вы ездите в разные страны по работе.
The library opens at 9 AM., Библиотека открывается в 9 утра.
I drink coffee in the morning., Я пью кофе по утрам.
They celebrate their birthdays in July., Они отмечают свои дни рождения в июле.
She is walking to school right now., Сейчас она идет в школу.
He is playing soccer with his friends., Он играет в футбол со своими друзьями.
They are eating dinner at the moment., В данный момент они ужинают.
The sun is shining brightly today., Сегодня ярко светит солнце.
I am reading a fascinating book., Я читаю увлекательную книгу.
You are always helping your classmates., Ты всегда помогаешь своим одноклассникам.
The train is arriving at the station.,Поезд прибывает на станцию.
We are enjoying our vacation this week., На этой неделе мы наслаждаемся отпуском.
She is studying for her exams., Она готовится к экзаменам.
He is watching a movie right now., Прямо сейчас он смотрит фильм.
The kids are playing in the park., Дети играют в парке.
It is raining outside., На улице идет дождь.
My brother is working on a new project., Мой брат работает над новым проектом.
The baby is sleeping peacefully., Ребенок мирно спит.
Cats are chasing butterflies in the garden., Кошки гоняются за бабочками в саду.
We are visiting our friends this weekend., В эти выходные мы навещаем друзей.
You are traveling to Paris next month., В следующем месяце вы едете в Париж.
The library is closing early today., Библиотека сегодня закрывается рано.
I am drinking my morning coffee., Я пью утренний кофе.
They are celebrating their anniversary tonight., Сегодня вечером они празднуют свою годовщину.
She has visited France twice., Она дважды посетила Францию.
He has finished his homework., Он закончил свою домашнюю работу.
They have eaten lunch already., Они уже пообедали.
I have read that book before., Я уже читал эту книгу.
You have seen that movie many times., Вы видели этот фильм много раз.
We have traveled to several countries., Мы побывали в нескольких странах.
The team has won three championships., Команда выиграла три чемпионата.
She has learned to play the guitar., Она научилась играть на гитаре.
He has just arrived at the airport., Он только что прибыл в аэропорт.
They have started a new project., Они начали новый проект.
I have lived in this city for five years.,Я живу в этом городе уже пять лет.
You have completed the assignment., Вы выполнили задание.
We have made dinner plans for tonight., Мы составили планы на ужин на сегодняшний вечер.
She has forgotten her keys again., Она снова забыла ключи.
He has never been to a concert., Он никогда не был на концерте.
They have cleaned the house., Они убрались в доме.
I have bought a new car., Я купил новую машину.
You have improved your English skills., Вы улучшили свои знания английского языка.
We have enjoyed the concert so far., Пока что нам очень понравился концерт.
The children have grown so much this year., За этот год дети очень выросли.
She has been studying for her exams all week., Она всю неделю готовилась к экзаменам.
He has been playing soccer since morning., Он играет в футбол с утра.
They have been working on the project for several months., Они работали над проектом несколько месяцев.
I have been reading this book for two hours., Я читаю эту книгу уже два часа.
You have been helping your friend with his homework., Вы помогаете своему другу с домашним заданием.
We have been waiting for the bus for 30 minutes., Мы ждем автобус уже 30 минут.
The kids have been playing outside all afternoon., Дети весь день играли на улице.
She has been practicing the piano daily., Она ежедневно занимается игрой на пианино.
He has been watching that series since last month., Он смотрит этот сериал с прошлого месяца.
They have been trying to fix the car all day., Они весь день пытались починить машину.
I have been learning Spanish for a year., Я изучаю испанский язык уже год.
You have been exercising regularly lately.,В последнее время вы регулярно занимаетесь спортом.
We have been discussing the proposal for an hour., Мы обсуждаем это предложение уже час.
She has been cooking dinner for her family., Она готовила ужин для своей семьи.
He has been writing a novel since last summer., Он пишет роман с прошлого лета.
They have been cleaning the house for the past hour., Они убирались в доме уже час.
I have been thinking about the issue a lot., Я много думал об этом вопросе.
You have been traveling a lot this year., В этом году вы много путешествовали.
We have been enjoying our time together., Мы прекрасно проводим время вместе.
The team has been training hard for the competition., Команда усиленно готовилась к соревнованиям.
She walked to school yesterday., Вчера она пошла в школу пешком.
He played soccer last weekend., В прошлые выходные он играл в футбол.
They ate dinner at a new restaurant., Они поужинали в новом ресторане.
I read that book last month., Я прочитал эту книгу в прошлом месяце.
You saw that movie last night., Вы видели этот фильм вчера вечером.
We traveled to Italy last summer., Прошлым летом мы ездили в Италию.
The team won the championship., Команда выиграла чемпионат.
She studied hard for the exam., Она усердно готовилась к экзамену.
He watched a documentary on TV., Он посмотрел документальный фильм по телевизору.
They cleaned the house on Saturday., В субботу они убирались в доме.
I visited my grandparents last week., На прошлой неделе я навестил бабушку и дедушку.
You finished your project on time., Вы завершили свой проект вовремя.
We went to the beach for vacation., Мы поехали отдыхать на пляж.
She wrote a letter to her friend., Она написала письмо своей подруге.
He bought a new bike.,Он купил новый велосипед.
They celebrated their anniversary in April., В апреле они отметили годовщину.
I slept well last night., Я хорошо спал прошлой ночью.
You cooked a delicious dinner., Вы приготовили вкусный ужин.
We enjoyed the concert last Friday., Нам понравился концерт в прошлую пятницу.
The children played in the park all day., Дети весь день играли в парке.
She was walking to school when it started to rain., Она шла в школу, когда начался дождь.
He was playing soccer when he got injured., Он получил травму, играя в футбол.
They were eating dinner when the power went out., Они ужинали, когда отключилось электричество.
I was reading a book while waiting for my friend., Я читал книгу, ожидая своего друга.
You were watching TV during the storm., Вы смотрели телевизор во время шторма.
We were traveling through Europe last summer., Прошлым летом мы путешествовали по Европе.
The team was practicing for the big game., Команда готовилась к важной игре.
She was studying for her exams all night., Она всю ночь готовилась к экзаменам.
He was working on his project when I called., Когда я позвонил, он работал над своим проектом.
They were cleaning the house all day., Они убирались в доме весь день.
I was cooking dinner while listening to music., Я готовила ужин и слушала музыку.
You were driving when the accident happened., Вы были за рулем, когда произошла авария.
We were enjoying our vacation when it started to rain., Мы наслаждались отпуском, когда начался дождь.
She was writing an email at that moment., В этот момент она писала электронное письмо.
He was fixing the car when I arrived., Когда я приехал, он ремонтировал машину.
They were playing video games in the living room.,Они играли в видеоигры в гостиной.
I was trying to solve a puzzle., Я пытался решить головоломку.
You were sleeping when I knocked on the door., Ты спал, когда я постучал в дверь.
We were discussing plans for the weekend., Мы обсуждали планы на выходные.
The children were playing outside when it got dark., Когда стемнело, дети играли на улице.
She had walked to school before it started to rain., Она дошла до школы до того, как начался дождь.
He had played soccer for years before he got injured., Он много лет играл в футбол, прежде чем получил травму.
They had eaten dinner before the guests arrived., Они поужинали до прихода гостей.
I had read that book before the movie came out., Я прочитал эту книгу еще до выхода фильма.
You had seen that movie before it was nominated for an award., Вы видели этот фильм до того, как он был номинирован на премию.
We had traveled to Italy before the pandemic began., Мы ездили в Италию до начала пандемии.
The team had won three championships by the time I joined., К тому времени, как я присоединился, команда выиграла три чемпионата.
She had studied hard for the exam, Она усердно готовилась к экзамену.
He had finished his project before the deadline., Он завершил свой проект до истечения срока.
They had cleaned the house before their friends visited., Они убрались в доме перед приходом друзей.
I had visited my grandparents before they moved away., Я навестил бабушку и дедушку до того, как они уехали.
You had completed your work before the meeting started., Вы завершили свою работу до начала встречи.
We had enjoyed the concert before the rain began.,Мы наслаждались концертом до того, как начался дождь.
She had written a letter to her friend before she left., Перед отъездом она написала письмо своей подруге.
He had bought a new car before his old one broke down., Он купил новую машину до того, как сломалась старая.
They had celebrated their anniversary before going on a trip., Перед поездкой они отпраздновали годовщину.
I had slept well the night before the big day., Я хорошо спал в ночь перед важным днем.
You had cooked dinner before they arrived., Вы приготовили ужин до их прихода.
We had discussed our plans before the presentation., Мы обсудили наши планы перед презентацией.
The children had played outside before it got dark., Дети играли на улице до наступления темноты.
She had been walking to school for an hour before it started to rain., Она шла в школу целый час, прежде чем начался дождь.
He had been playing soccer for two hours when he got injured., Он играл в футбол в течение двух часов, когда получил травму.
They had been eating dinner when the power went out., Они ужинали, когда отключилось электричество.
I had been reading that book before I fell asleep., Я читал эту книгу перед тем, как уснуть.
You had been watching TV for a while when the phone rang., Вы уже некоторое время смотрели телевизор, когда зазвонил телефон.
We had been traveling for days before we reached our destination., Мы путешествовали несколько дней, прежде чем достигли места назначения.
The team had been practicing for weeks before the championship., Команда тренировалась несколько недель перед чемпионатом.
She had been studying all night and was exhausted., Она училась всю ночь и была измотана.
He had been working on his project for months before the deadline.,Он работал над своим проектом несколько месяцев до наступления крайнего срока.
They had been cleaning the house for hours before the guests arrived., Они несколько часов убирались в доме, прежде чем пришли гости.
I had been visiting my grandparents regularly before they moved., Я регулярно навещал бабушку и дедушку до того, как они переехали.
You had been exercising consistently, Вы постоянно занимались спортом
We had been discussing our plans for a long time before making a decision., Мы долго обсуждали наши планы, прежде чем принять решение.
She had been writing her novel for years before she published it., Она писала свой роман много лет, прежде чем опубликовала его.
He had been fixing the car when I arrived., Когда я приехал, он ремонтировал машину.
They had been waiting for the bus for over an hour., Они ждали автобус больше часа.
I had been thinking about the issue before we talked about it., Я думал об этом вопросе, прежде чем мы его заговорили.
You had been playing video games all day when I called., Когда я позвонил, ты весь день играл в видеоигры.
We had been enjoying the concert until it started to rain., Мы наслаждались концертом, пока не начался дождь.
The children had been playing outside for hours before dinner., Перед ужином дети несколько часов играли на улице.
She will walk to school tomorrow., Завтра она пойдёт в школу пешком.
He will play soccer next weekend., На следующих выходных он будет играть в футбол.
They will eat dinner at a restaurant tonight., Сегодня вечером они поужинают в ресторане.
I will read that book next month., Я прочту эту книгу в следующем месяце.
You will see that movie next week., Вы увидите этот фильм на следующей неделе.
We will travel to Italy this summer.,Этим летом мы поедем в Италию.
The team will win the championship., Команда выиграет чемпионат.
She will study for her exams next week., На следующей неделе она будет готовиться к экзаменам.
He will watch a documentary this evening., Сегодня вечером он посмотрит документальный фильм.
They will clean the house on Saturday., В субботу они уберутся в доме.
I will visit my grandparents next week., На следующей неделе я навещу бабушку и дедушку.
You will finish your project on time., Вы завершите свой проект вовремя.
We will go to the beach this weekend., В эти выходные мы поедем на пляж.
She will write a letter to her friend., Она напишет письмо своей подруге.
He will buy a new bike next month., В следующем месяце он купит новый велосипед.
They will celebrate their anniversary in April., В апреле они отпразднуют свой юбилей.
I will sleep early tonight., Сегодня я лягу спать пораньше.
You will cook dinner for your family., Вы приготовите ужин для своей семьи.
We will enjoy the concert next Friday., Мы насладимся концертом в следующую пятницу.
The children will play in the park tomorrow., Завтра дети будут играть в парке.
She will be walking to school at 8 AM tomorrow., Завтра в 8 утра она пойдет в школу пешком.
He will be playing soccer when you arrive., Когда вы приедете, он будет играть в футбол.
They will be eating dinner at 7 PM tonight., Сегодня в 7 вечера они будут ужинать.
I will be reading a book during the flight., Во время полета я буду читать книгу.
You will be seeing that movie next weekend., Вы увидите этот фильм на следующих выходных.
We will be traveling to Italy this summer., Этим летом мы поедем в Италию.
The team will be practicing for the championship all week.,Команда будет тренироваться для участия в чемпионате всю неделю.
She will be studying for her exams all night., Она будет готовиться к экзаменам всю ночь.
He will be working on his project at that time., В это время он будет работать над своим проектом.
They will be cleaning the house when the guests arrive., Они будут убирать дом, когда приедут гости.
I will be visiting my grandparents next Sunday., В следующее воскресенье я навещу бабушку и дедушку.
You will be finishing your report by the deadline., Вы закончите свой отчет к установленному сроку.
We will be going to the beach tomorrow afternoon., Завтра днём мы пойдём на пляж.
She will be writing a letter while waiting for her flight., Она будет писать письмо, ожидая своего рейса.
He will be buying groceries later today., Сегодня он пойдёт покупать продукты.
They will be celebrating their anniversary next month., В следующем месяце они будут праздновать свою годовщину.
I will be sleeping during the meeting., Во время встречи я буду спать.
You will be cooking dinner for your family tonight., Сегодня вечером вы будете готовить ужин для своей семьи.
We will be enjoying the concert next Friday., Мы насладимся концертом в следующую пятницу.
The children will be playing outside when it gets warm., Дети будут играть на улице, когда станет тепло.
She will have walked to school by the time the bell rings., К тому времени, как прозвенит звонок, она уже дойдёт до школы.
He will have played soccer for ten years by next season., К следующему сезону он будет играть в футбол уже десять лет.
They will have eaten dinner before the movie starts., Они успеют поужинать до начала фильма.
I will have read that book by the end of the month.,Я прочитаю эту книгу к концу месяца.
You will have seen that movie before it leaves theaters., Вы наверняка увидите этот фильм до того, как он выйдет в прокат.
We will have traveled to five countries by the end of the year., К концу года мы посетим пять стран.
The team will have won three championships by next summer., К следующему лету команда выиграет три чемпионата.
She will have studied for her exams by the time they arrive., К моменту их сдачи она уже подготовится к экзаменам.
He will have finished his project before the deadline., Он завершит свой проект до истечения срока.
They will have cleaned the house before the guests come., Они уберутся в доме перед приходом гостей.
I will have visited my grandparents twice this year., В этом году я дважды навещу бабушку и дедушку.
You will have completed your work by the time we meet., К моменту нашей встречи вы уже закончите свою работу.
We will have gone to the beach five times this summer., Этим летом мы съездим на пляж пять раз.
She will have written her report before the presentation., Она напишет свой отчет до презентации.
He will have bought a new car by next month., К следующему месяцу он купит новую машину.
They will have celebrated their anniversary by then., К тому времени они уже отпразднуют свою годовщину.
I will have slept for eight hours by morning., К утру я просплю восемь часов.
You will have cooked dinner before they arrive., Вы приготовите ужин до их прихода.
We will have enjoyed the concert by the time we leave., К тому времени, как мы уйдем, мы уже насладимся концертом.
The children will have played outside all afternoon., Дети, должно быть, играли на улице весь день.
She will have been walking to school for 30 minutes by the time you call her.,К тому времени, как вы ей позвоните, она будет идти до школы уже 30 минут.
He will have been playing soccer for two hours by the time the match ends., К моменту окончания матча он будет играть в футбол уже два часа.
They will have been eating dinner for an hour when we arrive., К моменту нашего прибытия они будут ужинать уже час.
I will have been reading that book for a month by the time I finish it., К тому времени, как я закончу читать эту книгу, будет уже месяц.
You will have been studying for your exams for weeks before they start., Вам предстоит готовиться к экзаменам в течение нескольких недель, прежде чем они начнутся.
We will have been traveling for three days by the time we reach our destination., К тому времени, как мы достигнем места назначения, мы будем в пути уже три дня.
The team will have been practicing for the championship for months., Команда будет тренироваться для участия в чемпионате в течение нескольких месяцев.
She will have been studying all night by the time the test begins., К моменту начала теста она будет готовиться всю ночь.
He will have been working on his project for a year when it's completed., К моменту завершения проекта он будет работать над ним уже год.
They will have been cleaning the house for hours when the guests arrive., Они будут убираться в доме уже несколько часов, когда приедут гости.
I will have been visiting my grandparents every month for two years by next spring., К следующей весне будет уже два года, как я каждый месяц навещаю бабушку и дедушку.
You will have been exercising regularly for six months by then., К тому времени вы будете регулярно заниматься спортом уже в течение шести месяцев.
We will have been discussing our plans for a long time by the end of the meeting.,К концу встречи мы будем долго обсуждать наши планы.
She will have been writing her novel for over a year by the time it's published., К моменту публикации ее роман будет написан уже больше года.
He will have been fixing the car for a while when I check on him., К тому времени, как я приду к нему, он уже будет чинить машину.
They will have been waiting for the bus for 45 minutes by the time it arrives., К моменту прибытия автобуса они будут ждать его уже 45 минут.
I will have been thinking about the project for days before presenting it., Я буду думать о проекте несколько дней, прежде чем представить его.
You will have been playing video games for hours when I come over., К тому времени, как я приду, ты уже много часов будешь играть в видеоигры.
We will have been enjoying the concert for two hours by the time it ends., К моменту окончания концерта мы будем наслаждаться им уже два часа.
The children will have been playing outside all afternoon before dinner., Дети будут играть на улице весь день до ужина.
